purchase_value,user_lifetime_event_count,unique_session_count_cumulative_y,user_lifetime_purchase_count,days_since_previous_purchase,q1_purchase,q2_purchase,q3_purchase,mean_discounted_proportion,purchase_repeat_product%,fb_session,email_session,purchase_session_duration,product_id_count,cumulative_product_id_count,repeated_purchase_in_60d,weekend_purchase,mac_purchase,iphone_purchase,mobile_purchase
228500,371,57,15,22,False,False,False,0,0,False,False,855,8,8,1,1,False,True,False
146900,383,57,16,27,True,False,False,0,0,False,False,427,7,15,1,1,False,True,False
266200,400,57,17,17,True,False,False,0,0,False,False,758,9,16,1,0,True,False,False
77300,409,57,18,12,True,False,False,0,1,False,True,2293,4,20,1,0,True,False,False
171100,423,57,19,14,True,False,False,0,1,False,True,653,7,27,1,0,True,False,False
207300,435,57,20,23,False,True,False,0,1,False,True,1061,8,35,1,0,True,False,False
75700,439,57,21,11,False,True,False,0,1,False,True,195,3,3,1,0,False,True,False
101100,18,8,1,999,True,False,False,0,0,False,False,1958,5,5,1,0,False,False,False
80100,34,8,2,22,True,False,False,0,0,False,False,1527,4,9,1,1,False,False,False
92000,4,6,1,999,True,False,False,0,1,False,False,718,1,1,1,0,False,True,False
138000,10,6,2,10,True,False,False,0,1,False,False,805,1,1,1,0,False,False,False
11500,14,6,3,9,True,False,False,0,0,False,False,474,1,2,1,0,False,True,False
138000,21,6,4,0,True,False,False,0,1,False,False,111,1,3,1,0,False,True,False
63900,14,18,1,999,True,False,False,0,1,False,False,599,2,2,1,0,False,True,False
228800,64,18,2,0,True,False,False,0,0,False,False,697,2,4,1,0,False,True,False
228800,71,18,3,0,True,False,False,0,0,False,False,697,2,6,1,0,False,True,False
125150,23,20,1,999,True,False,False,0,0,False,True,2368,9,9,1,0,False,False,False
128650,40,20,2,6,True,False,False,0,0,False,False,3154,8,17,1,0,False,False,False
150000,9,8,1,999,True,False,False,0,0,True,False,893,1,1,1,0,False,True,False
72000,23,8,2,41,False,True,False,0,1,False,False,903,1,1,1,0,False,True,False
56600,6,5,1,999,True,False,False,0,0,False,False,366,1,1,1,0,False,True,False
51400,6,4,1,999,True,False,False,0,0,False,False,455,3,3,1,0,False,True,False
225600,18,19,1,999,True,False,False,0,0,False,False,777,11,11,1,0,False,False,False
250200,63,19,2,19,True,False,False,0,0,False,False,78,12,23,1,0,False,False,False
90400,17,11,1,999,True,False,False,0,0,False,False,2699,7,7,1,0,False,False,False
123000,30,11,2,3,True,False,False,0,0,False,True,794,6,13,1,0,False,False,False
124500,45,11,3,4,True,False,False,0,0,False,False,207,9,9,1,1,False,True,False
122310,9,21,1,999,True,False,False,0,0,False,False,2315,4,4,1,0,False,False,False
169500,29,21,2,6,True,False,False,1,0,False,False,3093,9,13,1,0,False,False,False
170633,45,21,3,9,True,False,False,0,0,False,False,3063,9,22,1,0,False,False,False
35300,8,5,1,999,True,False,False,0,1,False,False,1026,2,2,1,0,False,True,False
35300,9,5,2,0,True,False,False,0,1,False,False,1026,2,4,1,0,False,True,False
109500,6,3,1,999,True,False,False,0,0,False,False,815,2,2,1,0,False,True,False
86496,9,7,1,999,True,False,False,0,0,False,False,264,3,3,1,0,False,True,False
123350,29,110,1,999,True,False,False,0,0,False,False,1112,18,18,1,1,False,True,False
150000,45,110,2,11,True,False,False,0,0,False,False,525,4,4,1,0,False,True,False
75700,141,110,3,20,False,True,False,0,0,False,False,626,4,8,1,0,False,True,False
197750,15,6,1,999,True,False,False,0,0,False,False,1826,10,10,1,0,False,False,False
192650,23,12,1,999,True,False,False,0,0,False,False,1254,10,10,1,1,False,True,False
86400,9,2,1,999,True,False,False,0,0,False,False,1902,3,3,1,1,False,False,False
73350,5,2,1,999,True,False,False,0,1,False,False,1476,1,1,1,1,False,False,False
349100,50,21,1,999,True,False,False,0,0,False,False,484,18,18,1,0,False,False,False
44100,61,21,2,0,True,False,False,1,1,False,False,1923,1,19,1,0,False,False,False
223900,62,13,1,999,True,False,False,0,0,False,False,1171,9,9,1,0,True,False,False
53790,26,5,1,999,True,False,False,0,0,False,False,1312,4,4,1,1,False,False,False
111100,22,1,1,999,False,True,False,0,0,False,False,1171,7,7,0,0,False,True,False
63600,6,4,1,999,False,False,False,0,0,False,False,1204,3,3,0,0,False,True,False
35200,9,6,1,999,True,False,False,0,0,False,False,1147,2,2,1,1,False,True,False
96800,9,23,1,999,True,False,False,0,0,False,False,812,3,3,1,0,False,False,False
55900,52,23,2,11,True,False,False,0,0,True,False,1126,4,7,1,0,False,False,False
90000,80,23,3,7,True,False,False,0,0,False,False,0,3,3,1,1,False,False,False
58300,100,23,4,6,False,True,False,0,0,False,False,429,4,7,1,0,False,False,False
67200,31,26,1,999,True,False,False,0,0,False,False,2244,5,5,1,0,False,True,False
64590,48,26,2,6,True,False,False,0,0,False,False,6432,6,11,1,0,False,True,False
98300,15,12,1,999,True,False,False,0,0,False,False,2647,6,6,1,0,False,False,False
152900,28,12,2,2,True,False,False,0,0,False,False,1263,5,11,1,0,False,False,False
130800,36,12,3,6,True,False,False,0,0,False,False,169,4,15,1,0,False,False,False
245900,17,6,1,999,True,False,False,0,0,False,False,3119,11,11,1,0,False,False,False
33600,5,3,1,999,True,False,False,0,0,False,False,384,1,1,1,0,False,True,False
57500,9,3,2,6,True,False,False,0,1,False,False,179,1,1,1,0,False,True,False
133750,16,6,1,999,True,False,False,0,0,False,False,1206,9,9,1,1,False,True,False
105800,6,1,1,999,True,False,False,0,0,False,False,1502,3,3,0,0,True,False,False
97900,7,7,1,999,True,False,False,0,0,False,False,1028,1,1,1,0,False,False,False
68600,18,7,1,999,True,False,False,0,0,False,False,846,2,2,1,0,False,False,False
47000,6,8,1,999,True,False,False,0,0,False,False,2075,3,3,1,0,False,True,False
45600,14,8,2,11,True,False,False,0,0,False,False,810,3,3,1,1,False,True,False
117400,35,8,3,8,True,False,False,0,0,False,False,1585,10,10,1,0,False,True,False
94900,5,2,1,999,True,False,False,0,0,False,False,449,2,2,1,0,True,False,False
42750,5,16,1,999,True,False,False,0,1,False,False,260,2,2,1,0,False,True,False
30500,10,16,2,4,True,False,False,0,0,False,False,197,1,1,1,0,False,True,False
49950,18,16,3,9,True,False,False,0,1,False,False,366,2,2,1,0,False,True,False
93300,31,16,4,9,False,True,False,0,0,False,False,1403,3,5,1,1,False,True,False
125509,18,6,1,999,True,False,False,0,1,False,False,239,3,3,1,0,False,False,False
227509,43,6,2,19,True,False,False,0,0,False,True,292,4,7,0,0,False,False,False
108000,59,6,3,123,False,True,False,0,1,False,False,429,2,2,0,1,False,True,False
102000,63,6,4,240,True,False,False,0,1,False,False,324,1,1,0,0,False,True,False
110500,21,5,1,999,True,False,False,0,0,True,False,4175,3,3,1,0,False,False,False
142900,10,2,1,999,True,False,False,0,0,False,False,2215,4,4,1,0,False,True,False
175500,9,3,1,999,True,False,False,1,0,False,False,929,3,3,1,0,False,False,False
44100,9,2,1,999,True,False,False,0,0,False,False,1127,3,3,1,0,False,True,False
91500,4,3,1,999,True,False,False,0,0,False,False,1835,1,1,1,0,False,True,False
73200,6,3,2,0,True,False,False,0,0,False,False,1835,1,2,1,0,False,True,False
150100,19,12,1,999,True,False,False,0,0,False,True,1762,3,3,1,1,False,False,False
82400,13,9,1,999,True,False,False,0,0,False,True,3591,3,3,1,0,False,False,False
9000,5,3,1,999,True,False,False,0,0,False,False,476,1,1,1,0,False,True,False
80400,11,7,1,999,True,False,False,0,0,False,False,0,5,5,1,0,False,True,False
125208,10,4,1,999,True,False,False,1,0,False,True,1024,4,4,1,0,False,True,False
74900,12,3,1,999,False,True,False,0,0,False,False,1775,2,2,1,0,True,False,False
105300,29,3,2,13,False,True,False,1,0,False,True,562,4,4,0,0,False,True,False
141200,8,3,1,999,True,False,False,0,0,False,False,6557,2,2,1,0,True,False,False
100100,7,5,1,999,True,False,False,0,1,False,False,579,3,3,1,1,False,False,False
110000,15,5,2,19,False,True,False,0,0,False,False,302,2,2,1,0,False,False,False
100800,18,5,3,0,False,True,False,0,0,False,False,53,2,4,1,0,False,False,False
72750,7,2,1,999,True,False,False,0,0,False,False,807,4,4,1,1,False,False,False
208100,21,1,1,999,True,False,False,0,0,False,False,762,4,4,0,0,False,True,False
377340,24,4,1,999,True,False,False,0,0,False,False,1571,19,19,1,1,False,True,False
275500,20,10,1,999,True,False,False,0,0,False,False,3004,8,8,1,0,False,False,False
57850,14,7,1,999,True,False,False,0,0,False,False,810,3,3,1,1,False,True,False
123800,7,7,1,999,True,False,False,0,0,False,False,1757,1,1,1,0,False,False,False
81300,9,1,1,999,True,False,False,0,0,False,False,1614,4,4,1,0,False,False,False
168200,13,2,1,999,True,False,False,0,0,False,False,1313,8,8,1,0,False,False,False
76500,9,6,1,999,True,False,False,0,1,False,False,2456,3,3,1,0,True,False,False
76500,12,6,2,0,True,False,False,0,1,False,False,2456,3,6,1,0,True,False,False
76500,16,6,3,0,True,False,False,0,1,False,False,2456,3,9,1,0,True,False,False
60900,29,6,4,4,True,False,False,0,0,False,False,550,3,3,1,1,False,True,False
57200,44,6,5,7,True,False,False,0,0,False,False,698,5,14,1,1,True,False,False
51500,12,9,1,999,True,False,False,0,0,False,False,419,4,4,1,0,False,False,False
61000,26,9,2,8,True,False,False,0,0,False,True,621,7,11,1,0,False,False,False
44700,9,9,1,999,True,False,False,0,0,False,False,1078,2,2,1,0,False,True,False
49800,13,9,2,3,True,False,False,0,1,False,False,149,2,4,1,0,False,True,False
49800,17,9,3,0,True,False,False,0,0,False,False,579,2,6,1,1,False,True,False
49800,21,9,4,0,True,False,False,0,1,False,False,49,2,8,1,1,False,True,False
58300,26,9,5,4,True,False,False,0,0,False,False,607,2,10,1,0,False,True,False
74700,32,9,6,4,True,False,False,0,0,False,False,108,3,13,1,0,False,True,False
99100,9,11,1,999,True,False,False,0,0,False,False,851,3,3,1,0,False,True,False
216116,47,11,2,28,False,True,False,0,0,False,False,700,8,8,1,0,False,True,False
59220,38,123,1,999,True,False,False,0,0,False,False,1532,3,3,1,0,False,True,False
67600,170,123,2,23,True,False,False,0,0,False,False,1014,5,5,1,0,False,True,False
46000,286,123,3,48,True,False,False,0,0,False,False,962,3,3,1,0,False,False,False
133250,331,123,4,9,True,False,False,0,0,False,False,494,7,7,1,1,False,True,False
67600,362,123,5,40,False,True,False,1,0,False,True,1379,5,5,1,0,True,False,False
47200,404,123,6,38,False,True,False,0,1,False,False,398,3,8,1,0,True,False,False
267100,546,123,7,42,False,False,True,0,0,False,False,373,17,17,1,0,False,True,False
128900,708,123,8,35,False,False,True,0,0,False,False,919,5,22,1,0,False,True,False
254150,715,123,9,26,False,False,True,0,0,False,False,211,12,20,1,0,True,False,False
254150,716,123,10,0,False,False,True,0,0,False,False,211,12,32,1,0,True,False,False
254150,717,123,11,0,False,False,True,0,0,False,False,211,12,44,0,0,True,False,False
67200,736,123,12,102,True,False,False,0,0,True,False,1769,3,3,1,0,False,True,False
110000,752,123,13,12,True,False,False,0,0,False,False,93,1,1,1,0,False,True,False
67750,783,123,14,49,True,False,False,1,0,False,True,81,4,4,1,0,False,True,False
43200,795,123,15,32,False,True,False,1,0,False,True,103,4,4,1,0,True,False,False
200640,22,22,1,999,True,False,False,0,0,False,False,0,16,16,1,0,False,False,False
151200,37,22,2,0,True,False,False,0,0,False,False,199,15,15,1,0,False,False,False
394250,96,22,3,21,False,True,False,0,0,False,False,194,27,43,1,0,False,False,False
249550,117,22,4,6,False,True,False,0,0,False,False,3348,14,57,1,0,False,False,False
155550,33,8,1,999,True,False,False,0,0,False,False,787,9,9,1,0,False,False,False
138100,54,8,2,13,False,True,False,0,0,False,False,1972,9,18,1,0,False,False,False
89000,22,16,1,999,False,True,False,0,0,False,False,131,3,3,1,0,True,False,False
50600,8,2,1,999,True,False,False,0,0,False,False,782,3,3,1,0,False,True,False
165000,12,20,1,999,True,False,False,0,0,False,True,825,7,7,1,0,False,True,False
161400,21,20,2,1,True,False,False,0,0,False,False,433,3,10,1,0,False,True,False
150000,30,20,3,4,True,False,False,0,1,False,False,200,3,13,1,0,False,True,False
278900,45,20,4,12,True,False,False,0,0,False,True,818,5,18,1,1,False,True,False
142900,59,20,5,23,False,True,False,0,0,False,True,350,4,22,1,0,False,True,False
115200,68,20,6,7,False,True,False,1,0,False,False,604,4,26,1,0,False,True,False
183600,75,20,7,3,False,True,False,0,1,False,False,153,4,30,1,0,False,True,False
138000,80,20,8,7,False,True,False,0,0,False,False,394,2,32,1,0,False,True,False
146000,88,20,9,0,False,True,False,0,0,False,False,394,3,35,1,0,False,True,False
156000,92,20,10,4,False,True,False,0,1,False,False,81,2,37,1,0,False,True,False
340800,15,11,1,999,True,False,False,0,0,False,False,1196,6,6,1,0,False,False,False
573700,30,11,2,0,True,False,False,0,0,False,False,1196,7,13,1,0,False,False,False
193200,44,11,3,3,True,False,False,0,0,False,False,978,4,4,1,1,False,False,False
475600,22,15,1,999,True,False,False,0,0,False,False,1032,15,15,1,0,False,True,False
376700,48,15,2,12,False,True,False,0,0,False,False,1047,16,31,1,0,False,True,False
115700,58,15,3,6,False,True,False,0,0,False,False,927,5,36,1,0,False,True,False
375300,82,15,4,7,False,True,False,0,0,False,False,1150,17,17,1,0,False,True,False
375800,91,15,5,0,False,True,False,0,0,False,False,1150,17,34,1,0,False,True,False
84000,11,14,1,999,True,False,False,0,1,False,False,677,2,2,1,0,False,False,False
112800,22,14,2,10,False,True,False,0,0,False,False,1240,4,6,1,0,False,False,False
117900,44,14,3,4,False,True,False,0,0,False,False,1413,4,10,1,0,False,False,False
90000,6,4,1,999,True,False,False,0,0,False,False,1010,1,1,1,0,False,True,False
70800,8,1,1,999,False,False,False,0,0,False,False,1762,3,3,0,0,False,True,False
44100,59,1,1,999,True,False,False,0,0,False,True,5728,4,4,0,0,False,False,False
188400,6,5,1,999,True,False,False,0,1,False,False,845,1,1,1,0,False,False,False
61500,7,9,1,999,True,False,False,0,0,False,False,89226,2,2,0,0,True,False,False
131400,624,9,2,73,False,True,False,0,0,False,False,378,4,4,0,1,True,False,False
10600,628,9,3,178,False,False,False,0,1,False,False,361,1,1,1,0,True,False,False
78900,636,9,4,20,False,False,False,0,0,False,False,119,3,3,1,0,True,False,False
106100,642,9,5,4,False,False,False,0,1,False,False,110,3,6,1,0,True,False,False
189400,654,9,6,9,False,False,False,0,0,False,False,1520,6,6,0,0,True,False,False
35500,662,9,7,79,True,False,False,0,0,False,False,40,1,1,0,1,True,False,False
119000,5,3,1,999,True,False,False,0,1,False,False,1048,1,1,1,1,False,False,False
104100,10,7,1,999,True,False,False,0,0,False,False,814,4,4,1,1,False,False,False
50300,14,7,2,5,True,False,False,0,0,False,True,285,2,6,1,0,False,False,False
45300,21,7,3,10,False,True,False,0,0,False,False,951,2,8,1,0,False,False,False
285050,18,9,1,999,True,False,False,0,0,False,False,2728,8,8,1,1,False,False,False
249232,25,36,1,999,True,False,False,0,0,False,False,2382,11,11,1,0,False,False,False
275100,48,36,2,2,True,False,False,0,0,False,False,138,3,14,1,0,False,False,False
244908,65,36,3,11,False,True,False,0,0,False,False,984,9,23,1,0,False,False,False
135000,7,6,1,999,True,False,False,0,1,False,False,850,1,1,1,1,False,False,False
135000,13,6,2,4,True,False,False,0,1,False,True,164,1,1,1,0,False,True,False
135000,16,6,3,0,True,False,False,0,0,False,True,355,1,2,1,0,False,True,False
79000,8,4,1,999,True,False,False,1,1,False,False,1864,2,2,1,1,False,True,False
146996,22,15,1,999,True,False,False,0,0,False,False,2267,8,8,1,0,False,True,False
104100,36,15,2,6,True,False,False,0,0,False,False,2130,4,4,1,0,False,True,False
13000,11,2,1,999,True,False,False,1,0,False,False,536,1,1,1,0,False,False,False
14400,60,2,2,0,True,False,False,0,0,False,False,723,2,3,0,0,False,False,False
440550,22,20,1,999,True,False,False,0,0,False,False,1227,18,18,1,0,True,False,False
242680,39,20,2,0,True,False,False,0,0,False,False,5234,12,30,1,0,True,False,False
369700,70,20,3,9,False,True,False,0,0,False,False,2038,15,45,1,0,True,False,False
86400,9,3,1,999,True,False,False,0,0,False,False,1751,2,2,1,0,False,False,False
328916,33,3,1,999,True,False,False,0,0,False,False,2102,18,18,1,0,False,False,False
208100,46,3,2,22,False,True,False,0,0,False,False,310,9,27,1,0,False,False,False
127500,10,6,1,999,True,False,False,0,0,False,False,1143,6,6,1,0,False,True,False
104600,16,6,2,3,True,False,False,1,0,False,False,417,3,3,1,1,True,False,False
102100,21,6,3,2,True,False,False,0,0,False,False,509,3,6,1,0,True,False,False
143332,14,8,1,999,True,False,False,0,0,False,False,2395,7,7,1,0,False,False,False
79200,18,8,2,2,True,False,False,0,0,False,False,330,2,9,1,0,False,False,False
246090,30,8,3,12,False,True,False,1,0,False,False,1691,6,15,1,0,False,False,False
106950,10,2,1,999,True,False,False,0,0,False,False,1703,7,7,1,0,False,True,False
58600,6,3,1,999,True,False,False,0,0,False,False,1421,3,3,1,0,False,True,False
30100,5,4,1,999,True,False,False,1,0,False,False,692,2,2,1,0,False,True,False
126800,18,12,1,999,True,False,False,0,0,False,False,250,3,3,0,0,False,False,False
170300,36,12,2,97,False,True,False,0,0,False,False,1765,4,4,0,0,False,False,False
125500,39,12,3,116,False,False,True,0,0,False,False,344,4,4,0,0,False,False,False
46900,49,12,4,77,False,False,False,0,0,True,False,175,5,5,1,0,False,True,False
69600,59,12,5,27,True,False,False,0,0,False,False,261,4,8,1,0,False,False,False
114900,68,12,6,14,True,False,False,0,0,False,False,294,4,4,0,0,False,True,False
76000,10,14,1,999,True,False,False,0,0,False,False,3958,2,2,1,0,True,False,False
60000,21,14,2,5,False,True,False,0,0,False,False,385,1,3,1,0,True,False,False
125700,16,13,1,999,True,False,False,0,0,True,False,1308,6,6,1,0,False,False,False
157500,34,13,2,0,True,False,False,0,0,False,False,876,8,8,1,0,False,False,False
157500,48,13,3,0,True,False,False,0,1,False,False,643,8,16,1,0,False,False,False
117900,58,13,4,1,True,False,False,0,0,False,True,439,7,23,1,0,False,False,False
520300,16,6,1,999,True,False,False,0,0,False,False,0,7,7,1,0,False,False,False
202600,26,20,1,999,True,False,False,0,0,False,False,1420,14,14,1,0,False,False,False
224700,69,20,2,6,True,False,False,0,0,False,False,1986,16,16,1,0,False,False,False
43300,8,6,1,999,True,False,False,1,0,False,False,1993,2,2,1,1,False,False,False
54100,51,10,1,999,False,True,False,0,0,False,False,2007,5,5,1,1,True,False,False
19800,79,10,2,7,False,True,False,0,0,False,False,607,2,7,1,0,True,False,False
23500,89,10,3,0,False,True,False,0,0,False,False,607,2,9,0,0,True,False,False
27800,100,10,4,191,False,False,False,0,0,False,False,439,3,3,1,0,True,False,False
32600,105,10,5,5,False,False,False,0,0,False,False,227,2,5,1,0,True,False,False
77400,116,10,6,57,True,False,False,0,0,False,False,622,6,6,1,0,True,False,False
64200,124,10,7,4,True,False,False,0,0,False,False,342,4,10,1,0,True,False,False
49700,132,10,8,5,True,False,False,0,0,False,False,569,3,13,0,1,True,False,False
109800,6,81,1,999,True,False,False,0,0,False,False,885,1,1,1,0,False,False,False
58400,21,81,2,5,False,True,False,0,0,False,False,990,2,3,1,0,False,False,False
73200,33,81,3,2,False,True,False,0,1,False,False,98,1,4,1,0,False,False,False
123900,68,81,4,5,False,True,False,0,0,False,False,6382,3,7,1,0,False,False,False
441123,126,30,1,999,True,False,False,0,0,False,False,340,23,23,1,1,False,True,False
106000,3,2,1,999,False,False,True,0,0,False,False,563,3,3,0,0,True,False,False
56900,4,4,1,999,False,False,True,0,0,False,False,588,3,3,0,0,False,True,False
124200,10,4,2,116,True,False,False,0,0,False,False,592,2,2,1,1,False,True,False
81600,17,4,3,9,True,False,False,0,1,False,False,293,3,3,1,0,False,True,False
105400,25,4,4,20,True,False,False,0,0,False,False,808,4,4,0,0,False,True,False
23700,5,5,1,999,False,True,False,0,0,False,False,1884,1,1,1,0,False,True,False
83150,69,18,1,999,False,True,False,0,0,False,False,1838,3,3,0,0,True,False,False
64990,5,7,1,999,False,True,False,0,0,False,False,122,1,1,1,0,True,False,False
34000,11,12,1,999,False,True,False,0,0,False,False,948,2,2,1,0,False,False,False
23200,29,12,2,13,False,True,False,0,0,False,True,1868,1,1,1,0,False,False,False
43000,6,4,1,999,False,True,False,0,0,False,False,70,2,2,1,0,True,False,False
72087,8,7,1,999,False,True,False,0,0,False,False,595,2,2,1,0,False,False,False
56100,8,16,1,999,False,True,False,0,0,False,False,1514,1,1,1,0,False,False,False
58400,9,4,1,999,False,True,False,0,0,False,False,99,3,3,1,0,True,False,False
176400,10,12,1,999,False,True,False,0,0,False,False,2058,5,5,1,0,False,False,False
104000,30,12,2,3,False,True,False,0,0,False,False,902,5,10,1,0,False,False,False
67700,11,5,1,999,False,True,False,0,0,False,False,1604,3,3,1,0,False,False,False
77700,5,1,1,999,False,True,False,0,0,False,False,1037,2,2,1,0,False,True,False
259546,28,11,1,999,False,True,False,0,0,False,False,0,14,14,1,0,False,False,False
91800,4,4,1,999,False,True,False,0,0,False,False,214,1,1,1,0,False,True,False
124200,8,2,1,999,False,True,False,0,0,False,False,566,4,4,1,0,True,False,False
119900,11,12,1,999,False,True,False,0,0,False,False,1030,5,5,1,0,False,False,False
103600,23,12,2,0,False,True,False,0,0,False,False,359,6,6,1,0,False,False,False
68500,36,12,3,7,False,True,False,0,0,False,False,961,2,7,1,0,False,False,False
260600,10,5,1,999,False,True,False,0,0,False,False,704,5,5,1,0,False,False,False
153300,26,5,2,3,False,True,False,0,0,False,False,1174,4,4,1,0,False,False,False
328600,11,2,1,999,False,True,False,0,0,False,False,1571,8,8,1,0,False,True,False
71100,35,4,1,999,True,False,False,0,0,False,False,1238,3,3,0,0,True,False,False
141100,20,6,1,999,False,True,False,0,1,False,False,1876,10,10,1,1,False,True,False
64000,7,10,1,999,False,True,False,0,0,False,False,767,3,3,1,1,False,True,False
35200,4,3,1,999,False,True,False,0,1,False,False,1617,1,1,1,1,False,True,False
35200,8,3,2,0,False,True,False,0,1,False,False,882,1,1,1,1,False,True,False
35200,14,3,3,0,False,True,False,0,0,False,False,67,1,1,1,1,False,True,False
58200,6,20,1,999,False,True,False,0,0,False,False,1419,3,3,1,1,False,True,False
186900,18,8,1,999,False,True,False,0,0,False,False,3064,4,4,1,0,False,False,False
186900,24,8,2,0,False,True,False,0,0,False,False,3064,4,8,1,0,False,False,False
